G4WT6 >      Cr_sctns:  Glauber-Gribov Nucl-nucl: 0 eV  ---> 25.6 PeV
G4WT6 > 
G4WT6 > *********************************************************************************************************
G4WT6 > * G4Track Information:   Particle = opticalphoton,   Track ID = 1,   Parent ID = 0
G4WT6 > *********************************************************************************************************
G4WT6 > 
G4WT6 > Step#    X(mm)    Y(mm)    Z(mm) KinE(MeV)  dE(MeV) StepLeng TrackLeng  NextVolume ProcName
G4WT6 >    65       25   0.0647     -870   2.6e-06        0        0  1.03e+03    rect_mid Transportation
G4WT6 >    66     15.5     -2.5     -890   2.6e-06        0       23  1.05e+03       World Transportation
G4WT6 >    67     15.5     -2.5     -890   2.6e-06        0        0  1.05e+03    rect_mid Transportation
G4WT6 >    68    -2.97      2.5     -931   2.6e-06        0     44.7   1.1e+03       World Transportation
G4WT6 >    69    -2.97      2.5     -931   2.6e-06        0        0   1.1e+03    rect_mid Transportation
G4WT6 >    70    -21.5     -2.5     -971   2.6e-06        0     44.7  1.14e+03       World Transportation
G4WT6 >    71    -21.5     -2.5     -971   2.6e-06        0        0  1.14e+03    rect_mid Transportation
G4WT6 >    72      -25    -1.54     -979   2.6e-06        0     8.56  1.15e+03       World Transportation
G4WT6 >    73      -25    -1.54     -979   2.6e-06        0        0  1.15e+03    rect_mid Transportation
G4WT6 >    74      -10      2.5 -1.01e+03   2.6e-06        0     36.2  1.19e+03       World Transportation
G4WT6 >    75      -10      2.5 -1.01e+03   2.6e-06        0        0  1.19e+03    rect_mid Transportation
G4WT6 >    76     8.44     -2.5 -1.05e+03   2.6e-06        0     44.7  1.23e+03       World Transportation
G4WT6 >    77     8.44     -2.5 -1.05e+03   2.6e-06        0        0  1.23e+03    rect_mid Transportation
G4WT6 >    78       25     1.98 -1.09e+03   2.6e-06        0     40.1  1.27e+03       World Transportation
G4WT6 >    79       25     1.98 -1.09e+03   2.6e-06        0        0  1.27e+03    rect_mid Transportation
G4WT6 >    80     23.1      2.5 -1.09e+03   2.6e-06        0     4.67  1.28e+03       World Transportation
G4WT6 >    81     23.1      2.5 -1.09e+03   2.6e-06        0        0  1.28e+03    rect_mid Transportation
G4WT6 >    82     4.58     -2.5 -1.13e+03   2.6e-06        0     44.7  1.32e+03       World Transportation
G4WT6 >    83     4.58     -2.5 -1.13e+03   2.6e-06        0        0  1.32e+03    rect_mid Transportation
G4WT6 >    84    -13.9      2.5 -1.17e+03   2.6e-06        0     44.7  1.36e+03       World Transportation
G4WT6 >    85    -13.9      2.5 -1.17e+03   2.6e-06        0        0  1.36e+03    rect_mid Transportation
G4WT6 >    86      -25     -0.5 -1.2e+03   2.6e-06        0     26.8  1.39e+03       World Transportation
G4WT6 >    87      -25     -0.5 -1.2e+03   2.6e-06        0        0  1.39e+03    rect_mid Transportation
G4WT6 >    88    -17.6     -2.5 -1.21e+03   2.6e-06        0     17.9  1.41e+03       World Transportation
